"Descrição","Acurácia","F1-Score","Recall","Precisão","MCC"
"banana.dat , MlP , Padronizado , Split # 0",0.8256603773584905,0.6474576678330943,0.8212555646852504,0.8181760606521209,0.8293785135631285
"banana.dat , MLP , Normalizado , Split # 0",0.6143396226415094,0.2062061287023858,0.5920067489191184,0.596526136881814,0.6101281188909675
"banana.dat , MlP , Padronizado , Split # 0",0.8588679245283019,0.7142905999442059,0.8570848481387721,0.8564751481988144,0.8578167115902965
"banana.dat , MLP , Normalizado , Split # 0",0.6264150943396226,0.23413911283772212,0.6114542142444572,0.6126760076828477,0.6216344217545011
"banana.dat , MlP , Padronizado , Split # 0",0.8943396226415095,0.7860977887371394,0.8927958833619211,0.8914625046635991,0.8946417128688045
"banana.dat , MLP , Normalizado , Split # 0",0.6339622641509434,0.25256317469364403,0.6239691884405159,0.6237753734333762,0.6288385472851492
"banana.dat , MlP , Padronizado , Split # 0",0.8483018867924528,0.6983122036802697,0.8427945819690565,0.8379071149248988,0.8607795694958764
"banana.dat , MLP , Normalizado , Split # 0",0.6264150943396226,0.23383507869003659,0.6107264125578902,0.6122027387417265,0.6218304576144036
"banana.dat , MlP , Padronizado , Split # 0",0.8588679245283019,0.7157620582068179,0.8553021237928218,0.8517424587876025,0.8641267290664352
"banana.dat , MLP , Normalizado , Split # 0",0.6369811320754717,0.25982077210671356,0.6283431331899948,0.6279311583689149,0.6319202344425341
"banana.dat , MlP , Padronizado , Split # 0",0.8890566037735849,0.7778569585465667,0.8862535411633412,0.8822573661834947,0.8957160158876232
"banana.dat , MLP , Normalizado , Split # 0",0.6264150943396226,0.23312966455826348,0.6086900491080192,0.6109406882320699,0.6224740926055873
"banana.dat , MlP , Padronizado , Split # 0",0.7524528301886793,0.5028769501714129,0.7391707237442264,0.7369994979434105,0.7667571336734271
"banana.dat , MLP , Normalizado , Split # 0",0.5720754716981132,0.12218238591223524,0.5575595176749459,0.5593267375073121,0.5629081256379825
"banana.dat , MlP , Padronizado , Split # 0",0.8128301886792453,0.6222316014050229,0.8071704880476218,0.8037085400286494,0.8187037198151692
"banana.dat , MLP , Normalizado , Split # 0",0.630188679245283,0.24297966835858523,0.6173174676524954,0.6178312997738442,0.625261962120767
"banana.dat , MlP , Padronizado , Split # 0",0.8128301886792453,0.6236742517530635,0.8063157795465692,0.8024464895189929,0.8215193313355662
"banana.dat , MLP , Normalizado , Split # 0",0.6211320754716981,0.22298500015732423,0.6058379713470309,0.607257020731713,0.6158952345402513
"banana.dat , MlP , Padronizado , Split # 0",0.7743396226415095,0.5448458383896145,0.7653026465840257,0.7621990539227201,0.7830454412108374
"banana.dat , MLP , Normalizado , Split # 0",0.6264150943396226,0.2320775366810513,0.6029670551187967,0.6077855619579285,0.6249239277821078
"banana.dat , MlP , Padronizado , Split # 0",0.8437735849056603,0.6847146080369436,0.839826415107562,0.8364850050896562,0.8483320856558413
"banana.dat , MLP , Normalizado , Split # 0",0.630943396226415,0.2461900617842826,0.6206752411010824,0.6205661263800799,0.6256769798058364
"banana.dat , MlP , Padronizado , Split # 0",0.8558490566037736,0.7137772984766871,0.8507028161610846,0.8456935980875789,0.8684462444771723
"banana.dat , MLP , Normalizado , Split # 0",0.6264150943396226,0.2323901501852931,0.5944481991243111,0.6038416541152519,0.6300181087331385
"banana.dat , MlP , Padronizado , Split # 0",0.8845283018867924,0.7661986651219582,0.8827759759127688,0.8813085252893734,0.884898550320343
